"author","influenced"
"Baruch Spinoza","Albert Einstein|Friedrich Nietzsche|Georg Wilhelm Friedrich Hegel|George Eliot|Gilles Deleuze|Gottfried Wilhelm Leibniz|Johann Gottlieb Fichte|Karl Marx|Ludwig Wittgenstein|Sigmund Freud|Gabriel Wagner|Louis Althusser|Michael Hardt|Samuel Taylor Coleridge|Arne Næss|Johann Wolfgang von Goethe|Leo Strauss|Novalis|Antonio Negri|Donald Davidson (philosopher)|Georges Bataille|George Santayana"
"Jacques-Bénigne Bossuet","René Descartes"
"Sarah Moore Grimké","Elizabeth Cady Stanton|Lucretia Mott"
"William Camden","Ben Jonson"
"Constant Tonegaru","Urmuz|Dimitrie Stelaru|Iordan Chimet"
"Emily Brontë","Giada Trebeschi"
"Robert Lowell","William Carlos Williams|Allen Tate|Hart Crane|John Berryman|Elizabeth Bishop|Derek Walcott|Sylvia Plath|Anne Sexton|Mark Doty|Frederick Seidel"
"Mikhail Bakhtin","Julia Kristeva|Tzvetan Todorov"
"Gotthold Ephraim Lessing","Johann Joachim Winckelmann"
"Dan Simmons","Jack Vance|Iain Banks"
"Karl Schönherr","August Strindberg"
"Peter Bowker","Dennis Potter"
"Lê Văn Hưu","Ngô Sĩ Liên|Phan Phu Tiên"
"Kajetan Kovič","Alojz Gradnik|Dragotin Kette"
"Russ Parsons","Harold McGee"
"Baron d'Holbach","Adam Weishaupt|Karl Marx|Michel Onfray"
"Epicurus","David Hume|Friedrich Nietzsche|Hadrian|Immanuel Kant|John Stuart Mill|Karl Marx|Michel Foucault|Thomas Jefferson|Seneca the Younger|Jeremy Bentham|Lucretius|Thomas Hobbes|Amafinius|Catius|Han Ryner|Metrodorus of Lampsacus (the younger)|Hermarchus|Pierre Gassendi|Michel Onfray|Philodemus"
"Gil Vicente","Juan del Encina|Lucian|Almeida Garrett|Luís de Sttau Monteiro"
"Benjamin Kunkel","Fernando Pessoa"
"Friedrich Heinrich Jacobi","Georg Wilhelm Friedrich Hegel|Johann Gottlieb Fichte|Søren Kierkegaard|Moses Mendelssohn|Martin Heidegger|Friedrich Wilhelm Joseph Schelling|Ludwig Feuerbach|Jakob Friedrich Fries|Victor Cousin"
"James Jones (author)","William Styron"
"George Moore (novelist)","James Joyce"
"Oscar Hijuelos","Donald Barthelme"
"Georges Dumézil","Bernard Sergent|Michel Foucault|Mircea Eliade|Alain de Benoist|Georges Duby"
"George Payne Rainsford James","Walter Scott"
"José Maria de Eça de Queirós","Almeida Garrett"
"William McIlvanney","Ian Rankin"
"Ion Călugăru","Ion Creangă|Urmuz"
"Colin Bateman","Raymond Chandler|Robert B. Parker"
"Mazhar Kaleem","Ibn-e-Safi"
"Wendell Berry","Wallace Stegner"
"Peter Achinstein","Helen Longino"
"Victor Pelevin","Vladimir Nabokov"
"Gilles Deleuze","Félix Guattari|Peter Sloterdijk|Levi Bryant|Bernard Stiegler|Bryan Reynolds|Manuel DeLanda|Michel Foucault|Michael Hardt|Antonio Negri|Brian Massumi|Michael J. Shapiro|Rosi Braidotti"
"Samuel Johnson","Thomas Browne|William Wollaston"
"Ernest J. Gaines","Wallace Stegner"
"Aenesidemus","Sextus Empiricus"
"Alfred Corn","James Merrill"
"Pierre Alféri","Avital Ronell"
"Edward Edson Lee","Stan Lee"
"Martin Wolf","Wynne Godley"
"James A. Moore","Brian Lumley"
"Adalbert Stifter","Friedrich Nietzsche|Thomas Mann|W. H. Auden|Marianne Moore|W. G. Sebald"
"Jez Butterworth","Harold Pinter"
"Javier Marías","Robert Louis Stevenson|Thomas Bernhard|Vladimir Nabokov"
"Leigh Brackett","Edgar Rice Burroughs|Robert E. Howard|George Lucas|Michael Moorcock|Ray Bradbury|Edmond Hamilton"
"Jan Patočka","Erazim Kohák|Václav Havel"
"Florence Earle Coates","Matthew Arnold"
"Stan Pitt","Paul Wheelahan|John Dixon (cartoonist)|Peter James"
"Martin Heidegger","Hans-Georg Gadamer|Jean-Paul Sartre|Maurice Merleau-Ponty|Reiner Schürmann|Giorgio Agamben|Peter Sloterdijk|Bernard Stiegler|Aleksandr Dugin|Hubert Dreyfus|Richard Rorty|Hans Jonas|Rudolf Bultmann|Emmanuel Levinas|Michel Foucault|Dušan Pirjevec|Jacques Derrida|Christian Norberg-Schulz|Nader El-Bizri|Jan Patočka|Leo Strauss|Maurice Blanchot|Jean-Luc Nancy|Karl Löwith|Mario Kopić|Jean Beaufret|Herbert Marcuse|Albert Borgmann|Hannah Arendt|Shūzō Kuki|Alain Badiou"
"Yuyi Morales","Cassandra Clare"
"Bernard Stiegler","Daniel Ross (philosopher)"
"N. P. van Wyk Louw","Cromwell Everson"
"W. B. Yeats","Edmund Burke|John Donne|Stéphane Mallarmé|Eva Henrietta Hamilton|Percy Bysshe Shelley|Henry David Thoreau|Patrick Kennedy (folklorist)|James Macpherson"
"Alasdair MacIntyre","Radical Orthodoxy|Stanley Hauerwas|Postliberal theology|Rod Dreher"
"Émile Armand","Daniel Guérin|Iniciales|Michel Onfray|La Revista Blanca"
"African Spir","Friedrich Nietzsche|Rudolf Steiner|Max Müller|Gerardus Heymans|Hans Vaihinger|Leo Tolstoy|William James"
"Qateel Shifai","Urdu poetry"
"Giorgio Agamben","Derek Gregory|Justin Clemens|Tiqqun|Dominick LaCapra|Mario Kopić"
"Jacek Dukaj","Tomasz Bagiński"
"Jean Giraudoux","Jean Anouilh"
"Henry Adams","Henry Cabot Lodge|Garry Wills|Joseph Pulitzer|J. Donald Cameron|Alfred Thayer Mahan|Clarence King|Ralph Adams Cram"
"Lucretius","Cicero|Gilles Deleuze|Karl Marx|Virgil|Stephen Greenblatt|Pierre Gassendi"
"Miran Jarc","Srečko Kosovel|Josip Murn|Dragotin Kette"
"Sébastien Japrisot","Jean-Christophe Grangé|Thierry Jonquet"
"Deborah Tall","John D'Agata"
"Mira Gonzalez","Tao Lin"
"Raza Naqvi Wahi","Mir Taqi Mir|Urdu poetry|Josh Malihabadi"
"David Schmidtz","Jason Brennan"
"Paul Grice","P. F. Strawson"
"Alfred North Whitehead","B. F. Skinner|Bertrand Russell|Gilles Deleuze|Maurice Merleau-Ponty|Mordecai Kaplan|Jean Wahl|C. D. Broad|William Irwin Thompson|Hans Jonas|David Ray Griffin|C. Robert Mesle|Susanne Langer|Michel Weber|Paul Weiss (philosopher)|Nicholas Rescher|Isabelle Stengers|John Lighton Synge|Talcott Parsons|Willard Van Orman Quine|Jules Vuillemin|Charles Birch|Daniel Day Williams|Franklin I. Gamwell|Henry Nelson Wieman|Jean Ladrière|Joseph A. Bracken|Luis G. Pedraja|Milič Čapek|Monica Coleman|Norman Pittenger|Roland Faber|Wilfred Eade Agar|Wolfgang Smith|Jay McDaniel|Ilya Prigogine|Terence McKenna|Catherine Keller (theologian)|Marjorie Hewitt Suchocki|Bruno Latour|H. Richard Niebuhr|Ian Barbour|Philippe Devaux|John B. Cobb|Philip Clayton (philosopher)|Ervin László|Thomas Jay Oord|Nancy R. Howell|Wolfhart Pannenberg|Sewall Wright|Dorothy Emmet|William E. Kaufman|F. S. C. Northrop|Reinhold Niebuhr|Bernard Loomer|Schubert M. Ogden|C. H. Waddington|Charles Malik|Charles Hartshorne|Bruce G. Epperly|David Bohm"
"Sid Chaplin","Keith Waterhouse|Stan Barstow|Alan Sillitoe"
"Henri Bourassa","Lionel Groulx|Ernest Lapointe"
"Ahmed Sofa","Abdur Razzaq (professor)"
