"author","influenced"
"Alexander Ostrovsky","Konstantin Stanislavsky"
"Owen Chase","Herman Melville"
"Ronald Firbank","Evelyn Waugh"
"George Eliot","Baruch Spinoza|Walter Scott|Charles Bray|J. K. Rowling|Marcel Proust|Christopher Hitchens|Thomas Mann|Virginia Woolf|Norman Mailer|Leo Tolstoy|Margaret Atwood|Martin Amis"
"C. J. Cherryh","Julie Czerneda"
"Margaret Laurence","Marian Engel|Adele Wiseman|Carol Shields|Margaret Atwood|Alice Munro"
"Alexandru Robot","Emilian Galaicu-Păun|Vladimir Beșleagă"
"Shane Leslie","F. Scott Fitzgerald"
"Sarah Pinborough","Carlo Wolff"
"Jonathan Safran Foer","Joyce Carol Oates"
"Oakley Hall","Michael Chabon|Amy Tan|Thomas Pynchon|Richard Ford"
"Simone de Beauvoir","Albert Camus|Jean-Paul Sartre|Judith Butler|Germaine Greer|Grace Ji-Sun Kim|Adrienne Rich|Camille Paglia|Sarah Hoagland|Betty Friedan"
"Mark Doty","James Merrill|Robert Lowell"
"Karen Russell","George Saunders|Joy Williams (American writer)"
"Carlos Oquendo de Amat","Omar Aramayo|Javier Sologuren"
"Janet Colquhoun","James Hogg"
"Michael Cunningham","Virginia Woolf"
"Dorothy Parker","Maureen Dowd|Amy Sherman-Palladino|Prince (musician)|Fran Lebowitz|David Sedaris|Nora Ephron|Amy Sedaris|Candace Bushnell"
"Gordon Lish","Wallace Stegner"
"Dox (poet)","Elie Rajaonarison"
"Algernon Charles Swinburne","Edmund John"
"Giosuè Carducci","Ugo Foscolo|Giacomo Leopardi"
"Saghar Siddiqui","Urdu poetry"
"Gabriel Marcel","Pierre Boutang"
"Witold Gombrowicz","Bruno Schulz|Thomas Bernhard"
"Zhou Dunyi","Cheng Yi (philosopher)|Zhu Xi|Cheng Hao"
"Abu Al-Asar Hafeez Jullundhri","Urdu poetry"
"John Kennedy Toole","Flannery O'Connor|Roberto Bolaño"
"Stevie Smith","Sylvia Plath|Vic Chesnutt"
"J. R. R. Tolkien","Edward Plunkett, 18th Baron of Dunsany|George MacDonald|Owen Barfield|H. Rider Haggard"
"Álvaro de Campos","José de Almada Negreiros"
"Panaetius","Cicero|Hecato of Rhodes|Posidonius"
"Theodore Sturgeon","Harlan Ellison|Kurt Vonnegut|Ray Bradbury|Samuel R. Delany"
"Yanka Kupala","Adam Mickiewicz"
"Aleksandr Solzhenitsyn","Alexander Pushkin|Andrey Dikiy"
"Oliver La Farge","Angie Debo"
"John S. Hall","MC Lars"
"Bolesław Leśmian","Antoni Lange"
"Victor Prosper Considerant","Charles Fourier"
"János Pilinszky","Attila József|Simone Weil"
"Jean-Jacques Rousseau","Adam Smith|B. F. Skinner|David Hume|Edmund Burke|French Revolution|Georg Wilhelm Friedrich Hegel|Immanuel Kant|Jean-Paul Sartre|Johann Gottlieb Fichte|John Dewey|Karl Marx|Mary Wollstonecraft|Romanticism|Alexis de Tocqueville|Counter-Enlightenment|Pierre-Joseph Proudhon|Louis Althusser|Friedrich Engels|Jacques Derrida|François-Noël Babeuf|Thomas Paine|Émile Durkheim|Johann Wolfgang von Goethe|Leo Strauss|Maximilien Robespierre|John Rawls|Leo Tolstoy|Louis Antoine de Saint-Just|Maria Montessori|Allan Bloom"
"Robert Louis Stevenson","Guy de Maupassant|Walter Scott|Ernest Hemingway|G. K. Chesterton|Jorge Luis Borges|Rudyard Kipling|J. M. Barrie|Vladimir Nabokov|Arthur Conan Doyle|Michael de Larrabeiti|Javier Marías|Diana Gabaldon|H. Rider Haggard"
"Anne-Marie Baiynd","Brian Shannon"
"Thomas Mayne Reid","Vladimir Nabokov|Nikolay Gumilyov|Selma Lagerlöf"
"Democritus","Aristotle|Baruch Spinoza|Epicurus|Friedrich Nietzsche|Karl Marx|Pyrrho|Lucretius|Michel de Montaigne|Marco Aurelio Severino|Michel Onfray|George Santayana"
"C. S. Forester","David Weber|Bernard Cornwell|Conn Iggulden"
"Jan Hus","John Wesley|Martin Luther|Jerome of Prague"
"William Lane Craig","J. P. Moreland|Michael R. Licona|Paul Copan"
"Richard A. Lupoff","Robert E. Howard"
"Christoph von Sigwart","Bertrand Russell|Bernard Bosanquet (philosopher)|F. H. Bradley|William James"
"Blaise Cendrars","Jean Epstein"
"Benjamin Zephaniah","Roger McGough"
"Orhan Pamuk","Italo Calvino|Kazi Nazrul Islam|Thomas Bernhard|Oğuz Atay|Reşat Ekrem Koçu|Thomas Mann|Ahmet Hamdi Tanpınar"
"Amanda Filipacchi","Italo Calvino|Brian O'Nolan|Donald Barthelme"
"Ghulam Muhammad Qasir","Urdu poetry"
"Percy Bysshe Shelley","Adam Weishaupt|Pedro Calderón de la Barca|Ovid|William Godwin|Robert Burns|Jean-Baptiste Benoît Eyriès|Alfred Nobel|Alexander Pushkin|W. B. Yeats|Jan Kasprowicz|Subramania Bharati|Gregory Corso|Robert Browning"
"Giovanni Papini","Mircea Eliade|Mina Loy|Scipio Slataper"
"Greg Hall (poet)","F. A. Nettelbeck"
"Peter Ludlow","Jason Stanley"
"William Gibson","William S. Burroughs|Joseph Cornell|Neal Stephenson|Scott Westerfeld|John MacLachlan Gray|Rian Johnson|Linda Nagata|Charles Stross|Richard K. Morgan|Cory Doctorow|Lewis Call"
"Abbas Zaryab","Mohammad-Reza Shafiei Kadkani"
"Alejandro Korn","Pedro Henríquez Ureña|Juan José Arévalo|Francisco Romero (philosopher)"
"Margery Latimer","Meridel Le Sueur"
"John Cowper Powys","Thomas Hardy"
"Gerald Cohen","Jonathan Wolff (philosopher)|Will Kymlicka|John McMurtry|Alan Carter (philosopher)|Michael Otsuka"
"David Gascoyne","Benjamin Fondane|Lawrence Durrell"
"Elie Rajaonarison","Dox (poet)|Jean-Joseph Rabearivelo|Ny Avana Ramanantoanina"
"Iris Marion Young","Seyla Benhabib"
"Albert Jay Nock","Max Hirsch (economist)|Franz Oppenheimer"
"Clarice Lispector","Chico Buarque|Hélène Cixous"
"Dennis Cooper","William S. Burroughs|Tony O'Neill|Noah Cicero|Travis Jeppesen"
"Ivan Cankar","France Prešeren|Dragotin Kette|Fulvio Tomizza|Slovene literature"
"Anton Pann","Giulio Cesare Croce|Tudor Arghezi|Ion Barbu"
"Theodor W. Adorno","Jürgen Habermas|Karlheinz Stockhausen|Max Horkheimer|Raymond Geuss|Fredric Jameson|Herbert Marcuse"
"S. R. Ranganathan","Suzanne Briet|Paul Otlet"
"Jean Racine","Marcel Proust|Samuel Beckett|Stendhal"
"Robert B. Parker","Raymond Chandler|Peter David|Dennis Lehane|Jay Faerber|Colin Bateman|Robert Crais|Harlan Coben"
"Wazir Agha","Urdu literature"
"Frances Fyfield","Ruth Rendell"
"David Sedaris","Dorothy Parker|Flannery O'Connor|Tobias Wolff|Robert Benchley"
"Miroslav Krleža","August Strindberg"
"Honoré de Balzac","Walter Scott"
"Jean Richepin","Leconte de Lisle"
"Lesya Ukrainka","Mykhailo Drahomanov|Olha Kobylianska"
"Milan Dekleva","Gregor Strniša"
"Masoud Ahmadzadeh","Ashraf Dehghani|Hamid Ashraf|Amir Parviz Pooyan"
"Barry Hannah","Wells Tower|Bob Shacochis|Larry Brown (author)|Donna Tartt"
"Kyriakos Charalambides","Rainer Maria Rilke|Giorgos Seferis|Constantine P. Cavafy|T. S. Eliot|Dionysios Solomos"
"Ka'ab al-Ahbar","Abdullah ibn Umar|Muawiyah I|'Abd Allah ibn 'Amr ibn al-'As|Abu Hurairah"
"Jonathan Franzen","Lydia Davis|Don DeLillo|William Gaddis"
"Peter Gizzi","Michael Palmer (poet)"
"Harry Turtledove","Robert E. Howard|L. Sprague de Camp"
"Ahmad Khani","Nizami Ganjavi|Omar Khayyam|Mastoureh Ardalan|Abdurrahman Sharafkandi|Hemin Mukriyani|Nalî|Haji Qadir Koyi"
"Barrie Phillip Nichol","Robin Blaser"
"Madeleine L'Engle","George MacDonald"
"Peter Kropotkin","Emma Goldman|Franz Kafka|Noam Chomsky|Oscar Wilde|Stephen Jay Gould|George Woodcock|Murray Bookchin|Shūsui Kōtoku|Bob Black|L. Susan Brown|Nestor Makhno|Luigi Galleani|Leo Tolstoy|Rudolf Rocker|Alexander Berkman|Colin Ward|Errico Malatesta"
"Rachel Carson","Frank Edwin Egler|Lucille Farrier Stickel"
"William Faulkner","Herman Melville|George Washington Harris|Joel Chandler Harris|Sherwood Anderson|Flannery O'Connor|Cormac McCarthy|Philip Roth|Ralph Ellison|Toni Morrison|Guram Dochanashvili|Joyce Carol Oates|J. M. Coetzee|Bret Easton Ellis|Gabriel García Márquez|Mo Yan|Don DeLillo|Malcolm Lowry|Harper Lee"
"Stefan Florian Garczyński","Adam Mickiewicz|Juliusz Słowacki"
"Charles Fourier","Karl Marx|Paul Goodman|Émile Armand|Pierre-Joseph Proudhon|Raoul Vaneigem|Peter Kropotkin|André Breton|Bob Black|Walter Benjamin|Peter Lamborn Wilson|Herbert Marcuse|Joseph Déjacque|David Harvey"
"Dominique Janicaud","Simon Critchley"
"John Keats","William Hazlitt|Virgil|Yang Mu"
"Philippa Foot","Candace Vogler|Judith Jarvis Thomson|Michael Slote|John McDowell|Bernard Williams|Rosalind Hursthouse"
"Joan Maragall","Jacint Verdaguer|Narcís Oller|Santiago Rusiñol"
"Stefan George","Leconte de Lisle|Johann Joachim Winckelmann"
"Otto Weininger","Ludwig Wittgenstein|August Strindberg"
"João Cabral de Melo Neto","Joan Brossa"
"Deirdre Wilson","Stephen Neale"
"Johann Reuchlin","Heinrich Cornelius Agrippa"
"David Stove","James Franklin (philosopher)|Peter Forrest (philosopher)"
"Sholem Aleichem","Nikolai Gogol"
"Svetozar Marković","Nikola Pašić|Ljubodrag Simonović"
"David Markson","Ben Marcus|David Foster Wallace"
"Robert Musil","Carl Stumpf"
"Zeno of Sidon","Philodemus"
"Maxim Gorky","Knut Hamsun|Gleb Uspensky|Alexander Pushkin|Nikolay Dobrolyubov|Hamid Olimjon"
"Ali Al-Wardi","Morteza Motahhari|Ali Shariati"
"Gertrude Barrows Bennett","H. P. Lovecraft|A. Merritt"
"Eric Voegelin","Ellis Sandoz|William F. Buckley, Jr.|Tom Flanagan (political scientist)"
"Alexandre Koyré","Alexandre Kojève|Paul Feyerabend|Nader El-Bizri|Abdel Rahman Badawi|Thomas Kuhn"
"Petar II Petrović-Njegoš","Milovan Đilas|Ivo Andrić|Serbian epic poetry"
"Luigi Ugolini","Giovanni Pascoli"
"Harry Mulisch","Nicholas of Cusa"
"Christopher Phillips","Justus Buchler"
"Philip Pullman","Christopher Paolini"
"Colin William MacLeod","Donald Russell (classicist)"
"Julius Evola","Hermann Hesse|Aleksandr Dugin|Giuseppe Tucci|Giorgio Almirante|Francis Parker Yockey|Joscelyn Godwin|Michael Jenkins Moynihan|Mircea Eliade|Varg Vikernes|Daniel Pinchbeck|Alain de Benoist|Thomas Karlsson|Eduard Limonov|Miguel Serrano|Massimo Scaligero|Marguerite Yourcenar|Roberto Saviano"
"E. B. White","Henry David Thoreau|Joel Chandler Harris|Aprilynne Pike"
"Roy Johnston","Sinn Féin|Tomás Mac Giolla"
"I. A. Richards","M. H. Abrams"
"Karl Jaspers","Hans-Georg Gadamer|Alexandre Kojève|Paul Ricœur|William A. Earle|Martin Heidegger|Hannah Arendt"
"Bernard Cornwell","C. S. Forester|George R. R. Martin|Conn Iggulden|Angus Donald|Simon Scarrow"
"Jacob M. Appel","Robert Coover|Mary Gaitskill|Donald Barthelme|Stuart Dybek"
"Tom Robbins","Jack Kerouac|Terence McKenna"
"Manuel Maria Barbosa du Bocage","Luís de Camões"
"Johan Norberg","Anders Chydenius"
"Muhammad Iqbal","Pakistan|Muhammad Ali Jinnah|Pakistan Movement|Fateh Muhammad Malik|Ale Ahmad Suroor"
"Christina Lamb","Paulo Coelho"
"Personal life of Cicero","Quintilian|Tacitus|Pliny the Younger"
"Francis Bacon","Isaac Newton|John Locke|Encyclopédistes|Thomas Jefferson|Thomas Hobbes|William Petty|Basil Montagu"
"Judith Moffett","James Merrill"
"Gila Sher","John Etchemendy"
"Christian Bauman","Robert Stone (novelist)"
"Dervla Murphy","Josie Dew"
"Hannah Arendt","Julia Kristeva|Giorgio Agamben|Elisabeth Young-Bruehl|Seyla Benhabib|Giannina Braschi|Mario Kopić|Adriana Cavarero"
"Dan Lungu","Mihail Sadoveanu|Mircea Nedelciu"
"Karin Kallmaker","Bella Books"
"Shane Bolks","Julie Garwood"
"William Stafford (poet)","Theodore Roethke"
"Henry Kuttner","Robert E. Howard"
"Christian von Ehrenfels","Felix Weltsch"
"Joseph Dietzgen","Karl Marx|Vladimir Lenin|Antonie Pannekoek"
"Lester Bangs","Ken Kesey"
"I. Dragoslav","Ion Creangă"
"S. R. Ekkundi","Sundar V. Nadkarni|R. S. Mugali|Vinayaka Krishna Gokak|R. S. Mugali"
"Ion Negoițescu","Ștefan Augustin Doinaș|Radu Stanca"
"Vladimir Solovyov (philosopher)","Fyodor Dostoyevsky|Alexandre Kojève|Andrei Bely|Alexander Blok|Sergei Bulgakov|Pavel Florensky|Nikolai Berdyaev|Semyon Frank"
"Claudio Magris","Fulvio Tomizza|Scipio Slataper"
"Giuseppe Rovani","Carlo Dossi|Riccardo Bacchelli"
"R. K. Narayan","Alexander McCall Smith"
"Kostas Axelos","Jacques Derrida|Henri Lefebvre"
"Cassandra Clare","Yuyi Morales|Lloyd Alexander|Holly Black"
"Richard Ford","Oakley Hall|Richard Yates (novelist)|Raymond Carver|Andre Dubus"
"John Rawls","Jürgen Habermas|Joshua Cohen (philosopher)|Onora O'Neill|Thomas Pogge|Amartya Sen|Susan Neiman|Claudia Card|Paul Krugman|Ronald Dworkin|T. M. Scanlon|Christine Korsgaard|Thomas Nagel"
"Edwin Thumboo","Goh Sin Tub|Alvin Pang|Felix Cheong|Alfian Sa'at|Lee Tzu Pheng|Gwee Li Sui|Daren Shiau|Koh Buck Song"
"Alojz Ihan","Tomaž Šalamun"
"Franciscus van den Enden","Baruch Spinoza"
"Dmytro Dontsov","Organization of Ukrainian Nationalists"
"Giambattista Vico","Gottfried Wilhelm Leibniz|Niccolò Machiavelli|Pierre Bayle|Damaris Cudworth Masham|Nicolas Malebranche|Hugo Grotius|John Selden|Georg Wilhelm Friedrich Hegel|James Joyce|Karl Marx|Marshall McLuhan|Julius Evola|Benedetto Croce|James Hillman|Vittorio Hösle|Antonio Gramsci|Samuel Taylor Coleridge|Costanzo Preve|Joseph de Maistre|Edgar Quinet|François-René de Chateaubriand|Jules Michelet|Northrop Frye|Erich Auerbach|Cornelius Castoriadis|Isaiah Berlin|Eric Voegelin"
"Ioan A. Bassarabescu","Ion Luca Caragiale"
"Michel Valsan","René Guénon"
"C. D. Broad","A. J. Ayer"
"Alexis de Tocqueville","Friedrich Hayek|John Stuart Mill|Max Weber|Pierre Manent|Raymond Aron|Emmanuel Todd"
"Eugène Ionesco","Octave Mirbeau|Ion Luca Caragiale|Urmuz"
"Dylan Thomas","John Donne|Arthur Rimbaud|D. H. Lawrence|Alexander Pushkin|Lawrence Durrell|John Lennon|Theodore Roethke|W. S. Graham|Hedwig Gorski|Henry Treece|James K. Baxter"
"Emilio Salgari","Folco Quilici"
"Ronald Lockley","Richard Adams"
"Kiyoshi Jinzai","Michio Takeyama|Tatsuo Hori"
"Louis Althusser","Michel Foucault"
"Theodore Roethke","Dylan Thomas|Christopher Smart|William Carlos Williams|Louise Bogan|Sylvia Plath|Anne Sexton|Robert Bly|William Stafford (poet)|Carolyn Kizer|David Wagoner|James Wright (poet)|Richard Hugo|James Dickey"
"Reg Hartt","John Kricfalusi|Emo Philips|Le Patin Libre"
"Bob Black","Peter Gelderloos|David Graeber|Uri Gordon"
"Ljubodrag Simonović","Radovan Nastić|Ivan Ergić"
"Marquis de Sade","Samuel Beckett|Surrealism|Guy Debord|Michel Foucault|Pier Paolo Pasolini|Camille Paglia|Antonin Artaud|Pierre Klossowski|Georges Bataille|John Waters|Guillaume Apollinaire|Simone de Beauvoir"
"Zadie Smith","Salman Rushdie|Vladimir Nabokov"
"Bat Ye'or","Fjordman|Anders Behring Breivik"
"Jeanette Winterson","Sarah Waters|Susan Hill"
"Dana Gioia","Richard Wilbur"
"Christopher Paolini","Philip Pullman|Eric Rücker Eddison|David Eddings|Tamora Pierce"
"Hugo von Hofmannsthal","Ludwig Ganghofer"
"Mulla Sadra","Ruhollah Khomeini|Muhammad Husayn Tabataba'i|Morteza Motahhari"
"François Rabelais","Aleister Crowley|James Joyce|Laurence Sterne|Mikhail Bakhtin|Henry Miller"
"Bertrand Russell","Ludwig Wittgenstein"
"Ata ibn Abi Rabah","Ibn Jurayj"
"Paul Di Filippo","William S. Burroughs"
"Richard Swinburne","Antony Flew|William Lane Craig|Keith Ward"
"Henry Vaughan","Ben Jonson|Siegfried Sassoon|William Wordsworth|Nick Drake"
"Gabriel Wagner","Gottfried Wilhelm Leibniz"
"Karlheinz Steinmüller","Isaac Asimov|Stanisław Lem|Ursula K. Le Guin|Arkady and Boris Strugatsky"
"John Fowles","Thomas Hardy"
"Vladimir Bartol","Igor Škamperle|Dušan Jelinčič"
"Taras Shevchenko","Alexander Pushkin"
"Alfred, Lord Tennyson","George Crabbe"
"Ivan Goncharov","Alexander Pushkin"
"Michael Connelly","Raymond Chandler|Ross Macdonald"
"Toni Morrison","William Faulkner|Virginia Woolf"
"Zhuang Zhou","Eastern philosophy|Zen|Taoism|Chinese Buddhism"
"Avram Steuerman-Rodion","Benjamin Fondane"
"Edwin Morgan (poet)","James Kelman|Informationist poetry|Irvine Welsh|Robert Crawford (Scottish poet)|Richard Price|W. N. Herbert|A. L. Kennedy"
"Eric Rücker Eddison","Christopher Paolini|Christian Cameron"
"Henriett Seth F.","Donna Williams|Mark Haddon|Birger Sellin"
"Ivan Illich","Lee Felsenstein|Bob Black|Kevin Carson|André Gorz|Wolfgang Sachs|John Zerzan|Everett Reimer"
"Sundar V. Nadkarni","S. R. Ekkundi|Yashwant Vithoba Chittal|Gourish Kaikini|Mangesh V. Nadkarni"
"Joan D. Vinge","Alastair Reynolds"
"Gourish Kaikini","Yashwant Vithoba Chittal|Sundar V. Nadkarni"
"Arthur Machen","M. P. Shiel"
"Galway Kinnell","Yvan Goll"
"Max Stirner","Albert Camus|Emma Goldman|Friedrich Nietzsche|Karl Marx|Robert Anton Wilson|Rudolf Steiner|Ernst Jünger|Enrico Arrigoni|Julius Evola|Émile Armand|Friedrich Engels|Bob Black|Benjamin Tucker|Adolf Brand|Carl Schmitt|Saul Newman|Steven T. Byington|Herbert Read|John Henry Mackay|Wolfi Landstreicher|Gustav Landauer|Miguel Giménez Igualada|Wilhelm Reich|Renzo Novatore"
"Gardner Dozois","Jack Vance"
"Mary Soon Lee","Warren Ellis"
"Ken MacLeod","Iain Banks|J. G. Ballard"
"G. E. Moore","Bertrand Russell|Ludwig Wittgenstein|Max Black|John Maynard Keynes|J. L. Austin|W. D. Ross"
"Wolfi Landstreicher","Insurrectionary anarchism"
"Zeno Vendler","Mark Steedman|Emmon Bach|David Dowty"
"Harlan Coben","Robert B. Parker"
"Zechariah Chafee","Oliver Wendell Holmes, Jr."
"Naguib Mahfouz","Taha Hussein"
"Mihai Eminescu","Alexander Pushkin|Ion Heliade Rădulescu"
"Fakhruddin Sajid","Urdu poetry"
"Dorothy Scarborough","Carson McCullers"
"Iztok Osojnik","Srečko Kosovel"
"Carl Stumpf","Edmund Husserl|Robert Musil|Kurt Lewin|Kurt Koffka|Wolfgang Köhler"
"Bharathidasan","Kalyanasundaranar"
"Kutti Revathi","Sangam literature"
"Norbert Elias","Anthony Giddens|Pierre Bourdieu|Eric Dunning"
"Aristippus","Epicurus|Arete of Cyrene|Aristippus the Younger|Anniceris|Hegesias of Cyrene|Theodorus the Atheist|Michel Onfray"
"Richard L. Tierney","Robert E. Howard"
"Philippe Soupault","Comte de Lautréamont"
"Jeremy Robinson","James Rollins"
"Antarah ibn Shaddad","Mohammed Ridha Al-Shabibi|Muhammad Mahdi al-Jawahiri|Saleh|Abd al-Wahhab Al-Bayati"
"Walter Jon Williams","Roger Zelazny"
"F. C. S. Schiller","William James|Larry Laudan"
"Xi Xi","Ho Fuk Yan"
"Richard K. Morgan","William Gibson"
"Doris Lessing","Stendhal|Olaf Stapledon|D. H. Lawrence|Idries Shah"
"August Strindberg","Otto Weininger|Henrik Ibsen|Knut Hamsun|Ernst Toller|Karl Schönherr|Tennessee Williams|Miroslav Krleža|Reinhard Sorge|Jan Myrdal|Eugene O'Neill|Henry Miller|Lars Norén"
"N. D. Wilson","Walter Scott"
"Alexandre Mercereau","Jean Metzinger|Albert Gleizes|Julio González (sculptor)"
"Robert E. Howard","Edgar Rice Burroughs|Edward Plunkett, 18th Baron of Dunsany|Talbot Mundy|H. Rider Haggard|C. L. Moore|Fritz Leiber|George R. R. Martin|Michael Moorcock|Poul Anderson|Charles R. Saunders|Brian McNaughton|Matthew Stover|Andrew J. Offutt|William King (author)|S. M. Stirling|Paul Kearney|Harry Turtledove|L. Sprague de Camp|Leigh Brackett|James Reasoner|Karl Edward Wagner|Dave Sim|Richard L. Tierney|Lin Carter|Henry Kuttner|Laurell K. Hamilton|John Jakes|Steven Erikson|Emil Petaja|Robert Weinberg (author)|Richard A. Lupoff|David Drake|David Gemmell|Ramsey Campbell"
"Yasunari Kawabata","Kyōka Izumi|William T. Vollmann|Yukio Mishima"
"Arthur Yap","Toh Hsien Min|Cyril Wong"
"Thomas Ligotti","Peter Wessel Zapffe|Emil Cioran"
"Meeraji","Urdu poetry"
"Faiz Ahmad Faiz","Amjad Hyderabadi|Ghalib|Punjabi dialects|Urdu poetry"
"Ray Bradbury","Edgar Rice Burroughs|Leigh Brackett|Theodore Sturgeon|Yevgeny Zamyatin|Jack Williamson|Sherwood Anderson"
"Alexandre Kojève","Francis Fukuyama|Jacques Lacan|Jean-Paul Sartre|Maurice Merleau-Ponty|Stanley Rosen|Giorgio Agamben|Michel Foucault|Louis Althusser|Jacques Derrida|André Breton|Raymond Queneau|Leo Strauss|Raymond Aron|Georges Bataille|Allan Bloom"
"Abdel Latif Moubarak","Mahmoud Darwish"
"Park Ji-won","Yu Deuk-gong|Pak Je-ga|Park Gyu-su"
"George R. R. Martin","Robert A. Heinlein|Robert E. Howard|Lloyd Alexander|Jack Vance|Roger Zelazny|Bernard Cornwell|Scott Lynch|Damon Lindelof|David Anthony Durham|Daniel Abraham (author)|Joe Abercrombie"
"Alice McDermott","Thomas Williams (writer)"
"Norman Geisler","Frank Turek|Ravi Zacharias"
"Jack Kerouac","Gary Snyder|Arthur Rimbaud|William S. Burroughs|Mark Van Doren|Louis-Ferdinand Céline|William Gaddis|Hunter S. Thompson|John Lennon|Ken Kesey|Richard Brautigan|Jim Morrison|Roy Harper|Craig Finn|Russell Banks|Joe Cutler|Bob Dylan|Haruki Murakami|Ben Gibbard|Will Clarke (novelist)|Thomas Pynchon|Tom Waits|Jim Dodge|Morrissey|Tom Robbins|Joyce Johnson|Blake Schwarzenbach|Jerry Garcia|Tom Wolfe"
"Jon Elia","Urdu poetry"
"Louisa May Alcott","Friedrich de la Motte Fouqué|Stephenie Meyer"
"Dave Barry","Robert Benchley"
"Zaharije Orfelin","Dositej Obradović|Jovan Rajić"
"Guillaume Budé","John Colet"
"Ted Hughes","Sylvia Plath|Seamus Heaney|Carol Ann Duffy|Simon Armitage"
"Dorothy Black (novelist)","Marion Crawford"
"Friedrich Schleiermacher","Hans-Georg Gadamer|Heinrich Ritter|Rudolf Bultmann|Wilhelm Dilthey|Friedrich Ueberweg|Karl Barth|Albrecht Ritschl|Friedrich Adolf Trendelenburg|Paul Tillich|Antoine Berman|Manfred Frank"
"Cees Nooteboom","J. Slauerhoff"
"Euclid of Megara","Eubulides|Stilpo|Clinomachus|Ichthyas|Thrasymachus of Corinth"
"Hans Jonas","Murray Bookchin|Vittorio Hösle|John Crowley|Leon Kass|Hannah Arendt|Zygmunt Bauman|Eric Voegelin|Harold Bloom"
"Ale Ahmad Suroor","Muhammad Iqbal"
"Konstantine Gamsakhurdia","Grigol Robakidze"
"Carlos Ruiz Zafón","Emma Watson"
"Paulo Mendes Campos","Fernando Sabino"
"Namdeo Dhasal","Baburao Bagul"
"Robert Benchley","Dave Barry|Groucho Marx|James Thurber|Bob Newhart|Bill Hicks|Woody Allen|David Sedaris|Steve Martin|S. J. Perelman"
"Judith Butler","Sandy Stone (artist)|Pussy Riot|Andrea Smith (academic)|Jasbir Puar|Susan Stryker"
"W. P. Kinsella","Richard Brautigan"
"William Seabrook","Colin Wilson"
"Sinclair Lewis","Richard Harding Davis|Henry David Thoreau|Robert G. Ingersoll|Edmund Wilson"
"Edward Plunkett, 18th Baron of Dunsany","C. S. Lewis|H. P. Lovecraft|J. R. R. Tolkien|Michael Moorcock|Neil Gaiman|Robert E. Howard|Evangeline Walton|David Eddings|Jack Vance|Ursula K. Le Guin|Arthur C. Clarke"
"N. D. Cocea","Ion Vinea|Scarlat Callimachi"
"John Dixon (cartoonist)","Stan Pitt"
"John Cheever","William Keepers Maxwell, Jr.|John Updike|Michael Chabon|Rick Moody|Matthew Weiner"
"Friedrich Wilhelm Joseph Schelling","Charles Sanders Peirce|Georg Wilhelm Friedrich Hegel|Gilles Deleuze|Søren Kierkegaard|Isaac Bernays|Charles Secrétan|Carl Jung|Martin Heidegger|Samuel Taylor Coleridge|Johann Wolfgang von Goethe|Emil Fackenheim|Georg Anton Friedrich Ast|Slavoj Žižek|Karl Christian Friedrich Krause|Paul Tillich|Alexandru Hâjdeu|Iain Hamilton Grant|Félix Ravaisson-Mollien|Victor Cousin"
"Georg Trakl","Friedrich Hölderlin"
"Philip Graham (writer)","Donald Barthelme"
"Margo Glantz","Eliot Weinberger|Ilan Stavans|Guillermo Sheridan|Carlos Fuentes|Charles Tomlinson"
"Elias Canetti","Manon Gropius"
"Allen Steele","Robert A. Heinlein"
"William Montgomery McGovern","Indiana Jones"
"Alan Ayckbourn","Harold Pinter"
"Yuan Ch'iung-ch'iung","Eileen Chang"
"Evandro Agazzi","Carlo Penco"
"George Gurdjieff","Frank Lloyd Wright|Katherine Mansfield|René Daumal|Thomas de Hartmann|Alfred Richard Orage|Keith Jarrett|John G. Bennett|P. L. Travers|Maurice Nicoll|P. D. Ouspensky|Peter Brook|Jane Heap|James Moore (Cornish author)|Jean Toomer|Philip Mairet"
"Denis Diderot","Karl Marx|Jacques Barzun|Günter Grass|Milan Kundera|Johann Wolfgang von Goethe|Étienne Bonnot de Condillac|Baron d'Holbach"
"Richard Price (writer)","Hubert Selby, Jr.|Brian Michael Bendis"
"Oswald Spengler","Georg Henrik von Wright|H. P. Lovecraft|Henry Kissinger|Ludwig Wittgenstein|Malcolm X|Ernst Jünger|George F. Kennan|Paul Nitze|Theodor W. Adorno|Francis Parker Yockey|Karl Haushofer|Northrop Frye|José Ortega y Gasset|Arnold J. Toynbee|Henry Miller"
"Ali ibn al-Madini","Ibrahim ibn Ya'qub al-Juzajani"
"George Jonas","Sword of Gideon|Munich (film)"
"Edward Cahill","Denis Fahey"
"Giordano Bruno","Molière|Arthur Schopenhauer|Baruch Spinoza|Gottfried Wilhelm Leibniz|James Joyce"
"Ibn-e-Insha","Urdu poetry"
"Roger Angell","John Updike|Woody Allen|William Trevor"
"Edwin Arthur Burtt","Alexandre Koyré"
"M. John Harrison","Iain Banks|China Miéville"
"William Makepeace Thackeray","Charlotte Brontë|George Orwell"
"Kingsley Amis","Christopher Hitchens|Martin Amis"
"Vernard Eller","Jacques Ellul"
"Louis Arnaud Reid","Jacques Barzun|Susanne Langer|Lionel Trilling"
