"author","influencedby"
"Martin Heidegger","Edmund Husserl|Georg Wilhelm Friedrich Hegel|Gottfried Wilhelm Leibniz|Heraclitus|Immanuel Kant|Parmenides|Søren Kierkegaard|Friedrich Hölderlin|Duns Scotus|Max Scheler|Friedrich Heinrich Jacobi|Emil Lask|Friedrich Wilhelm Joseph Schelling|Wilhelm Dilthey|Damaris Cudworth Masham|Karl Jaspers|Heinrich Rickert|José Ortega y Gasset|Francisco Suárez|Franz Brentano|Félix Ravaisson-Mollien"
"Bernard Stiegler","Edmund Husserl|Gilles Deleuze|Martin Heidegger|Gilbert Simondon"
"W. B. Yeats","Edmund Burke|John Donne|Stéphane Mallarmé|Eva Henrietta Hamilton|Percy Bysshe Shelley|Henry David Thoreau|Patrick Kennedy (folklorist)|James Macpherson"
"Alasdair MacIntyre","Peter Geach|R. G. Collingwood"
"Émile Armand","Charles Fourier|Benjamin Tucker|Max Stirner"
"Panagiotis Kondylis","Dieter Henrich|Reinhart Koselleck"
"Giorgio Agamben","Roman Jakobson|Alexandre Kojève|Martin Heidegger|Carl Schmitt|Jacob Taubes|Hannah Arendt"
"Lucretius","Democritus|Empedocles|Epicurus"
"Miran Jarc","Srečko Kosovel|Josip Murn|Dragotin Kette"
"David Malet Armstrong","John Anderson (philosopher)"
"Lewis Call","William Gibson"
"Mira Gonzalez","Tao Lin"
"Alfred North Whitehead","Heraclitus|Samuel Alexander|Gustav Fechner"
"Anthony Buckeridge","George Mills (writer)"
"Ahmed Sofa","Abdur Razzaq (professor)"
"W. G. Sebald","Italo Calvino|Thomas Bernhard|Thomas Browne|Adalbert Stifter"
"Robert Nozick","Immanuel Kant|John Stuart Mill|Carl Gustav Hempel"
"Quentin Meillassoux","Alain Badiou"
"Bernard-Henri Lévy","Emmanuel Levinas"
"Stuart Neville","Adrian McKinty"
"Lewis Grassic Gibbon","George Douglas Brown"
"Harlan Ellison","Roger Zelazny|Theodore Sturgeon"
"György Lukács","Georg Wilhelm Friedrich Hegel|Max Weber|Emil Lask|Georg Simmel"
"Stanley Rosen","Alexandre Kojève|Leo Strauss"
"Mikhail Bulgakov","Alexander Pushkin"
"Srečko Kosovel","Josip Murn|Dragotin Kette"
"Luís de Camões","Ludovico Ariosto|Fernão Lopes de Castanheda"
"China Miéville","J. G. Ballard|Gene Wolfe|Bruno Schulz|M. John Harrison|Michael de Larrabeiti"
"Stanisław Lem","Bruno Schulz|Olaf Stapledon|Karlheinz Steinmüller"
"Adam Smith","David Hume|Jean-Jacques Rousseau|John Locke|Anne Robert Jacques Turgot|François Quesnay|Bernard Mandeville|William Petty|Francis Hutcheson (philosopher)"
"Robert C. Solomon","Frithjof Bergmann"
"Grigol Robakidze","Gustave Flaubert|Stendhal|Mikheil Javakhishvili|Johann Wolfgang von Goethe"
"Antonio Negri","Baruch Spinoza|Félix Guattari|Gilles Deleuze|Niccolò Machiavelli|Carl Schmitt"
"Alain Finkielkraut","Emmanuel Levinas"
"Cornelius Castoriadis","Max Weber|Melanie Klein|Giambattista Vico|Jacques Ellul|Gaston Bachelard|Jean Laplanche"
"Charlotte Brontë","Sheridan Le Fanu|William Makepeace Thackeray|Samuel Richardson"
"Gabriel Scott","Knut Hamsun"
"Akira Yoshimura","Motojirō Kajii"
"Vinayaka Krishna Gokak","S. R. Ekkundi|Gangadhar V. Chittal"
"Ray Brassier","Quentin Meillassoux|Wilfrid Sellars|François Laruelle|Nick Land|Alain Badiou"
"John D'Agata","Deborah Tall"
"J. L. Mackie","David Hume|John Anderson (philosopher)"
"W. N. Herbert","Edwin Morgan (poet)"
"Hasan Ali Toptaş","Oğuz Atay"
"Søren Kierkegaard","Georg Wilhelm Friedrich Hegel|Immanuel Kant|Friedrich Heinrich Jacobi|Friedrich Wilhelm Joseph Schelling|Johann Wolfgang von Goethe|Johann Eduard Erdmann|Johann Georg Hamann|Friedrich Adolf Trendelenburg|Poul Martin Møller"
"Gilbert Ryle","Ludwig Wittgenstein"
"Sesto Pals","Urmuz"
"Cyril Wong","Arthur Yap"
"Andrew J. Offutt","Robert E. Howard"
"Daniel Pinchbeck","Julius Evola|Terence McKenna|Jean Gebser"
"William S. Burroughs","Arthur Rimbaud|Richard Evans Schultes|Louis-Ferdinand Céline"
"Thomas Hobbes","Epicurus|Francis Bacon|Niccolò Machiavelli|Pierre Gassendi|Hugo Grotius|John Selden"
"Anna Akhmatova","Yevgeny Baratynsky|Alexander Pushkin|Mikhail Lermontov"
"Nihal Atsız","Ziya Gökalp"
"Stephen Greenblatt","Lucretius|Clifford Geertz"
"Adrienne Rich","Sylvia Plath|Simone de Beauvoir"
"Voltaire","John Locke|Miguel de Cervantes|Writings of Cicero|Pierre Bayle|Lucian"
"Erich Auerbach","Giambattista Vico"
"Edna O'Brien","Seamus Heaney"
"Paul Feyerabend","John Stuart Mill|Karl Popper|Alexandre Koyré|Imre Lakatos"
"Peter Singer","Georg Wilhelm Friedrich Hegel|John Stuart Mill|R. M. Hare|Henry Sidgwick"
"Jacques Sternberg","Jaime Montestrela"
"Holly Black","Lloyd Alexander"
"Michael J. Shapiro","Gilles Deleuze"
"Arun Budhathoki","Sylvia Plath"
"Yin Haiguang","Jin Yuelin"
"Bruce Chatwin","Robert Byron"
"Muhammad Mustafa Jauhar","Amjad Jauhari"
"Walker Percy","Ferdinand de Saussure"
"François Coppée","Leconte de Lisle"
"Gemistus Pletho","Plotinus"
"Augustyn Wróblewski","Edward Abramowski"
"Jane Lindskold","Roger Zelazny"
"François-René de Chateaubriand","Giambattista Vico|Louis Gabriel Ambroise de Bonald"
"Karl Kautsky","Bruno Bauer"
"Lucy Maud Montgomery","Kyoko Mizuki"
"Caryl Churchill","Harold Pinter"
"Kōbō Abe","Jun Ishikawa"
"Abdullah Goran","Riza Talabani|Nalî"
"J. K. Rowling","George Eliot|Lloyd Alexander|T. H. White"
"Thomas Carlyle","Johann Wolfgang von Goethe|Arthur Hugh Clough|Friedrich de la Motte Fouqué"
"Washington Irving","Alexander von Humboldt"
"Felix Cheong","Edwin Thumboo"
"Tristan Tzara","Comte de Lautréamont|Ion Minulescu"
"Kurt Koffka","Carl Stumpf"
"Anaximander","Thales"
"Adam Asnyk","Leconte de Lisle|Antoni Malczewski"
"Hunter S. Thompson","Jack Kerouac|Ken Kesey|William S. Burroughs"
"Virginia Woolf","Daniel Defoe|George Eliot|Laurence Sterne"
"Dewi Zephaniah Phillips","Simone Weil"
"Felix Aderca","Urmuz"
