"author","influencedby"
"Lucian Dan Teodorovici","Mircea Nedelciu"
"William Dalrymple (historian)","Eric Newby|Robert Byron"
"Kinoshita Rigen","Nobutsuna Sasaki"
"Murray Bookchin","Hans Jonas|Peter Kropotkin"
"G. K. Chesterton","Robert Louis Stevenson|George MacDonald|William Cobbett|John Ruskin"
"Cheng Yi (philosopher)","Zhou Dunyi"
"Ivan Turgenev","Gustave Flaubert|Nikolai Gogol|Vissarion Belinsky|Alexander Pushkin|Johann Wolfgang von Goethe|Mikhail Lermontov"
"Zlata Filipović","Anne Frank"
"Shirley Hazzard","William Keepers Maxwell, Jr."
"Jeremy Shearmur","Karl Popper"
"Empedocles","Pythagoras"
"Maurice Blanchot","Emmanuel Levinas|Martin Heidegger"
"Ronald Verlin Cassill","D. H. Lawrence"
"Pythagoras","Anaximander|Thales|Pherecydes of Syros"
"Claude Henri de Rouvroy, comte de Saint-Simon","Joseph de Maistre"
"Daniele Archibugi","Hyman Minsky|Christopher Freeman"
"Diana Gittins","Joan Busfield"
"Saul Kripke","Ludwig Wittgenstein|Hilary Putnam"
"Rosalind Hursthouse","Philippa Foot"
"Guram Dochanashvili","Gustave Flaubert|William Faulkner|Grigol Robakidze"
"Frederik Pohl","Jack Williamson"
"Jo Walton","Roger Zelazny"
"Thomas Hardy","George Meredith"
"Adam Weishaupt","Baron d'Holbach"
"Donald Davidson (philosopher)","Baruch Spinoza|Elizabeth Anscombe|Alfred Tarski|Willard Van Orman Quine|Hilary Putnam"
"Khin Khin Htoo","Journal Kyaw Ma Ma Lay|Khin Hnin Yu"
"P. F. Strawson","Immanuel Kant|Paul Grice"
"R. Scott Bakker","Steven Erikson"
"Simon Critchley","Jacques Rancière|Dominique Janicaud|Alain Badiou|Richard J. Bernstein"
"Helen Simpson (author)","Ruth Rendell"
"George Barker (poet)","Meary James Thurairajah Tambimuttu"
"Benjamin Fondane","Tudor Arghezi|Avram Steuerman-Rodion|Ion Minulescu|Emil Isac"
"Gorgias","Empedocles|Zeno of Elea"
"Carl Schmitt","Max Weber|Niccolò Machiavelli|Søren Kierkegaard|Georges Sorel|Louis Gabriel Ambroise de Bonald|Joseph de Maistre|Leo Strauss|Max Stirner|Juan Donoso Cortés"
"Zakhar Prilepin","Eduard Limonov"
"Jovan Sterija Popović","Andrija Kačić Miošić|Jovan Rajić"
"Tudor Arghezi","Anton Pann|Urmuz|Alexandru Bogdan-Pitești"
"Susan Stryker","Judith Butler"
"Tess Gallagher","Raymond Carver"
"Truman Capote","Ivan Turgenev|Edgar Lustgarten"
"Bruce Sterling","J. G. Ballard|Chad Oliver"
"Edmund Husserl","David Hume|Gottfried Wilhelm Leibniz|Immanuel Kant|René Descartes|Gottlob Frege|Bernard Bolzano|Carl Stumpf|Damaris Cudworth Masham|Sextus Empiricus|Franz Brentano|William James|Hermann Lotze|Johann Friedrich Herbart"
"Georg Brandes","Adam Mickiewicz"
"Isaac Asimov","John W. Campbell|Jack Williamson|Karlheinz Steinmüller"
"Roderick Chisholm","Alexius Meinong|Thomas Reid|Clarence Irving Lewis|Curt John Ducasse"
"Eve Bunting","Betsy Byars"
"Hugh MacDiarmid","Else Lasker-Schüler|George Douglas Brown"
"Suzanne Briet","Paul Otlet"
"Immanuel Kant","David Hume|Edmund Burke|Epicurus|George Berkeley|Gottfried Wilhelm Leibniz|Jean-Jacques Rousseau|John Locke|René Descartes|Alexander Gottlieb Baumgarten|Martin Knutzen|Damaris Cudworth Masham|Johannes Nikolaus Tetens|Christian Wolff (philosopher)|Pierre Louis Maupertuis|Johann Heinrich Lambert"
"Robert Stone (novelist)","Wallace Stegner|Richard Yates (novelist)"
"Mikhail Bakunin","Pierre-Joseph Proudhon|Louis Blanc|Nikolai Stankevich"
"Alphonse Daudet","Gustave Flaubert"
"Dritëro Agolli","Dmitri Kedrin"
"Stephen Elliott (author)","Tobias Wolff"
"Ton Satomi","Kyōka Izumi"
"Nicos Poulantzas","Antonio Gramsci"
"Henry Sidgwick","Herbert Spencer"
"Horace","Philodemus"
"Eisuke Yoshiyuki","Jun Tsuji"
"Jacques Ellul","Nikolai Berdyaev"
"Grace Ji-Sun Kim","Simone de Beauvoir"
"José Ortega y Gasset","Edmund Husserl|Oswald Spengler|Max Scheler"
"Paul de Man","Wlad Godzich"
"Arthur C. Clarke","Edgar Rice Burroughs|Edward Plunkett, 18th Baron of Dunsany|Olaf Stapledon"
"Michael Dummett","Elizabeth Anscombe|Gottlob Frege|J. M. E. McTaggart"
"Oton Župančič","France Prešeren|Dragotin Kette"
"Edward Said","Noam Chomsky|Michel Foucault|Antonio Gramsci|Raymond Williams|Frantz Fanon"
"Johann Eduard Erdmann","Georg Wilhelm Friedrich Hegel"
"Costanzo Preve","Giambattista Vico|György Lukács"
"Mahmoud Darwish","Abdel Latif Moubarak"
"William Frankena","Clarence Irving Lewis"
"Théodore Simon Jouffroy","Victor Cousin"
"Karel Kosík","György Lukács"
"Alberto Arbasino","Carlo Dossi"
"Ronald Dworkin","John Stuart Mill|Lon L. Fuller|H. L. A. Hart|John Rawls"
"Patrick Nielsen Hayden","John M. Ford"
"Nicolai Hartmann","Nikolay Lossky"
"Anne Rice","Jane C. Loudon"
"Brian Aldiss","Olaf Stapledon"
"Juvenal","Martial"
"J. Slauerhoff","Arthur Rimbaud|Luís de Camões"
"Reinhard Sorge","August Strindberg"
"John Ashbery","John Brooks Wheelwright|Wallace Stevens"
"P. L. Travers","George Gurdjieff"
"Lewis Mumford","Thorstein Veblen"
"Joyce Carol Oates","William Faulkner|D. H. Lawrence"
"Samuel Taylor Coleridge","Baruch Spinoza|Giambattista Vico|Friedrich Wilhelm Joseph Schelling|Robert Burns|Thomas Browne"
"Howard Zinn","Richard Hofstadter|Sender Garlin"
"Peter Lamborn Wilson","Charles Fourier|Herbert Marcuse"
"B. W. Powe","Northrop Frye"
"Giovanni Pascoli","Giacomo Leopardi"
"Edward Abbey","Robinson Jeffers|Wallace Stegner"
"Syed Qazi Ibadul Haq","Syed Qazi Muzainul Haq"
"John Gray (philosopher)","John Stuart Mill|Karl Polanyi|Michael Oakeshott"
"Jürgen Habermas","Hans-Georg Gadamer|Immanuel Kant|Max Horkheimer|Max Weber|Niklas Luhmann|Richard Rorty|George Herbert Mead|Theodor W. Adorno|Reinhart Koselleck|Carl Schmitt|Wilhelm Dilthey|Ludwig Binswanger|Herbert Marcuse|John Rawls|Karl Bühler"
"Seamus Heaney","Robert Frost|Ted Hughes|Virgil|John Montague (poet)"
"Stéphane Mallarmé","Leconte de Lisle"
"Robert B. Westbrook","Richard J. Bernstein"
"Maggie Estep","Hedwig Gorski"
"Josh Malihabadi","Raza Naqvi Wahi"
"Guillaume Apollinaire","Marquis de Sade"
"Jeremy Rifkin","Nicholas Georgescu-Roegen"
"Socrates","Parmenides"
"Noah Cicero","Dennis Cooper"
"Anton Ingolič","Prežihov Voranc"
"Raymond Carver","Guy de Maupassant|Richard Yates (novelist)|Andre Dubus"
"Porphyry (philosopher)","Plotinus"
"Alojz Rebula","Srečko Kosovel|Boris Pahor|France Balantič|Milan Komar|Dragotin Kette|Oton Župančič"
"Michael Chabon","Raymond Chandler|Oakley Hall|Jack Vance|Vladimir Nabokov|John Cheever|Richard Yates (novelist)"
"Johann Friedrich Herbart","Johann Gottlieb Fichte"
"Emil Petaja","Robert E. Howard"
"George Elder Davie","Thomas Reid"
"Mircea Cărtărescu","Mateiu Caragiale|H. Bonciu|Urmuz"
"Juliusz Słowacki","Stefan Florian Garczyński|Antoni Malczewski"
"Edmond Hamilton","Edgar Rice Burroughs|Leigh Brackett"
"Katherine Paterson","Lloyd Alexander"
"Simon Vestdijk","J. Slauerhoff"
"Gyula Juhász","Mihály Babits"
"H. L. A. Hart","John Stuart Mill|John Austin (legal philosopher)"
"John Berryman","Hart Crane|Mark Van Doren"
"Marsilio Ficino","Proclus|Gemistus Pletho|John Argyropoulos"
"Toh Hsien Min","Arthur Yap"
"James Ellroy","Peter Morgan"
"André Malraux","Maurice Barrès"
"José de Almada Negreiros","Fernando Pessoa|Mário de Sá-Carneiro|Álvaro de Campos"
"Roger Tory Peterson","Ludlow Griscom|Edwin Way Teale"
"Marshall McLuhan","Richard McKeon|Giambattista Vico|Owen Barfield"
"Charles Bukowski","James Thurber|Knut Hamsun|Robinson Jeffers|D. H. Lawrence|Louis-Ferdinand Céline|Sherwood Anderson"
"Joseph Conrad","Agustus Montrose|Ford Madox Ford|Antoni Malczewski|H. Rider Haggard|Ivan Turgenev"
"Jhumpa Lahiri","Vladimir Nabokov|Richard Yates (novelist)|Andre Dubus"
"Pierre Bayle","Strato of Lampsacus"
"Jacques Maritain","Maurice Barrès|Charles Maurras|Étienne Gilson"
"Howard Nemerov","Owen Barfield"
"Jeaniene Frost","Dean Koontz|Stephen King|Bertrice Small|Laurell K. Hamilton"
"Marguerite Yourcenar","Julius Evola"
"Ernesto Laclau","Ferdinand de Saussure|Jacques Rancière|Antonio Gramsci|Eric Hobsbawm"
"Qalandar Baba Auliya","Tajuddin Muhammad Badruddin"
"Anatole France","Leconte de Lisle"
"Dante Alighieri","Ovid|Virgil|Boethius"
"Julian Tuwim","Leopold Staff"
"Ágnes Heller","György Márkus"
"Jonathan Kozol","William Styron"
"Alexander Pruss","Nicholas Rescher"
"Peter Sloterdijk","Gilles Deleuze|Martin Heidegger|Gabriel Tarde|Jacob Taubes|Rajneesh"
"Nizami Ganjavi","Sanai"
"Octavio Paz","Fernando Pessoa|Stéphane Mallarmé|Antonio Machado|Rubén Darío|D. H. Lawrence|Gustavo Adolfo Bécquer"
"Kostis Palamas","Ion Dragoumis"
"Max Horkheimer","Theodor W. Adorno"
"J. Hoberman","Manny Farber|Andrew Sarris"
"Herta Müller","Urmuz"
"Carneades","Pyrrho|Arcesilaus"
"Nikolay Nekrasov","Vissarion Belinsky|Alexander Pushkin"
"Clive Barker","Robert Aickman|William S. Burroughs|William Blake"
"Xenocrates","Speusippus"
"Philip Roth","William Faulkner|Alessandro Piperno|Louis-Ferdinand Céline"
"John Selden","Hugo Grotius"
"Giani Stuparich","Scipio Slataper"
"Garry Wills","Henry Adams"
"Ahmad Sirhindi","Ibn Arabi"
"Necip Fazıl Kısakürek","Abdulhakim Arvasi"
"Alexander Pushkin","Percy Bysshe Shelley|Konstantin Batyushkov"
"Peter Rollins","John D. Caputo"
"Hilary Putnam","Nelson Goodman|Willard Van Orman Quine|Stanley Cavell|William James"
"Yashwant Vithoba Chittal","Sundar V. Nadkarni"
"Richard Cobb","Albert Soboul"
"Nicholson Baker","Brian O'Nolan"
"Blaise Pascal","Gerolamo Cardano|Michel de Montaigne"
"Cormac McCarthy","Herman Melville|William Faulkner"
"Nader El-Bizri","Alexandre Koyré|Martin Heidegger|Stanley Cavell"
"Ryūnosuke Akutagawa","Kyōka Izumi"
"Richard Christian Matheson","Richard Matheson"
"Arne Næss","Baruch Spinoza"
"Chantal Mouffe","Antonio Gramsci|Carl Schmitt"
"Conn Iggulden","C. S. Forester|Bernard Cornwell"
"John Hawthorne","David Lewis (philosopher)|Timothy Williamson"
"Plutarch","Posidonius"
"Muhammad Usman Damani","Haji Dost Muhammad Qandhari"
"Gottfried Wilhelm Leibniz","Giordano Bruno|Baruch Spinoza|Blaise Pascal|Gerolamo Cardano|Maimonides|René Descartes|Gabriel Wagner|Christiaan Huygens|Nicholas of Cusa|Nicolas Malebranche|Pierre Gassendi|Francisco Suárez"
"Geo Bogza","Urmuz"
"Tony Rothman","Milton A. Rothman"
"Ismail Kadare","Italo Calvino|Henrik Lacaj"
"Padgett Powell","Donald Barthelme"
"Anaïs Nin","D. H. Lawrence|Otto Rank|Maya Deren"
"William Shakespeare","John Pory|Ovid|Michel de Montaigne|Virgil|Lucian|Giada Trebeschi"
"Georges Sorel","Pierre-Joseph Proudhon|Juan Donoso Cortés"
"John Updike","James Thurber|Roger Angell|Vladimir Nabokov|William Keepers Maxwell, Jr.|John Cheever"
"Günter Grass","Denis Diderot|Johann Wolfgang von Goethe"
"Robert Wringham","Tom Hodgkinson"
"Thomas Hill Green","Hermann Lotze"
"Georges Bataille","Baruch Spinoza|Alexandre Kojève|Marquis de Sade"
"André Gide","Henry Fielding|Comte de Lautréamont|Johann Wolfgang von Goethe|Binet-Valmer"
"Ismat Chughtai","Rashid Jahan"
"France Prešeren","Johann Wolfgang von Goethe"
"Joseph Brodsky","Alexander Pushkin"
"Joseph Heller","James Thurber|William March|Thomas Mann|Jaroslav Hašek|Louis-Ferdinand Céline"
"L. Sprague de Camp","Robert E. Howard"
"William Blake","Jakob Böhme|Henry Fuseli"
"Stephen Ratcliffe","Leslie Scalapino"
"Uroob","C. V. Raman Pillai"
"Grigore Cugler","Urmuz"
"Jean Anouilh","Jean Giraudoux"
"William Stringfellow","Jacques Ellul"
"Ingvar Ambjørnsen","Knut Hamsun"
"Miguel Ángel Asturias","Enrique Gómez Carrillo"
"Ralph Ellison","William Faulkner|Joel Chandler Harris"
"Hans Vaihinger","Karl Robert Eduard von Hartmann|African Spir"
"Tudor Mușatescu","Urmuz"
"Artur Azevedo","Martins Pena"
"Mohammad-Reza Shafiei Kadkani","Abbas Zaryab"
"Mikhail Zoshchenko","Nikolai Leskov"
"Ursula K. Le Guin","Edward Plunkett, 18th Baron of Dunsany|Jack Vance|Karlheinz Steinmüller"
"R. M. Hare","A. J. Ayer|Gilbert Ryle|Henry Sidgwick"
"H. G. Wells","Henry George|Thomas Henry Huxley"
"José Guilherme Merquior","Norberto Bobbio|Ernest Gellner|Leszek Kołakowski"
"James Hogg","Walter Scott|Janet Colquhoun"
"Boris Pasternak","Alexander Pushkin|Mikhail Lermontov"
"Ludwig Feuerbach","Georg Wilhelm Friedrich Hegel|Friedrich Heinrich Jacobi|Johann Eduard Erdmann"
"H. Warner Munn","Talbot Mundy"
"Herman Bang","Ivan Turgenev"
"Linda Nagata","William Gibson"
"Tom Perrotta","Tobias Wolff|Raymond Carver"
"Carson McCullers","Dorothy Scarborough"
"Immanuel Hermann Fichte","Johann Friedrich Herbart"
"George Orwell","Daniel Defoe|Gustave Flaubert|Henry Fielding|Tobias Smollett|William Makepeace Thackeray|Yevgeny Zamyatin|Ekow Duker"
"Axel Honneth","Jürgen Habermas|Charles Taylor (philosopher)"
"Sam Harris","John Stuart Mill|Christopher Hitchens"
"Gary Peller","Duncan Kennedy (legal philosopher)"
"Mark Haddon","Henriett Seth F."
"Jim Butcher","Lloyd Alexander"
"Dafydd ab Hugh","Brad Linaweaver"
"Peter Straub","Robert Aickman"
"Stewart O'Nan","Richard Yates (novelist)"
"Zeno of Citium","Stilpo|Crates of Thebes"
"William Gaddis","Nikolai Gogol|Thomas Bernhard"
"Henning Mankell","Maj Sjöwall|Per Wahlöö"
"William F. Buckley, Jr.","Edmund Burke|Milton Friedman|L. Brent Bozell, Jr.|Eric Voegelin"
"Walt Whitman","Ralph Waldo Emerson|Henry David Thoreau|Alexander von Humboldt"
"Sayyad Laal Shah Hamdani","Muhammad Usman Damani"
"Brian J. Mistler","Kurt Lewin"
"Rudolf Christoph Eucken","Friedrich Adolf Trendelenburg"
"Pierre Duhem","Blaise Pascal|Ernst Mach|William John Macquorn Rankine"
"Laurence Sterne","Lucian|François Rabelais"
"R. S. Mugali","S. R. Ekkundi|Gangadhar V. Chittal"
"François Laruelle","Félix Ravaisson-Mollien"
"Alessandro Manzoni","Ugo Foscolo"
"Juan Ramón Jiménez","Gustavo Adolfo Bécquer"
"Tom Rockmore","György Lukács"
"Ian Rankin","William McIlvanney"
"Michael Hardt","Baruch Spinoza|Gilles Deleuze|Antonio Negri"
"Keiji Nishitani","Kitaro Nishida"
"Benedetto Croce","Georg Wilhelm Friedrich Hegel|Giovanni Gentile|Giambattista Vico|Antonio Labriola"
"Franz Rosenzweig","Martin Buber"
"Ken Kesey","Jack Kerouac|William S. Burroughs|Wallace Stegner|Neal Cassady"
"Jeff VanderMeer","Jack Vance"
"Giacomo Leopardi","Ugo Foscolo|Lucian"
"John Fante","Knut Hamsun|Sherwood Anderson"
"Aristotle","Socrates|Democritus|Empedocles|Heraclitus|Parmenides|Zeno of Elea"
"Andy Clark","Rodney Brooks"
"Philip José Farmer","Edgar Rice Burroughs"
"Ida Tarbell","Henry George"
"Ted Dekker","Dean Koontz"
"Otis Adelbert Kline","Edgar Rice Burroughs"
"Thomas Kuhn","Émile Meyerson|Alexandre Koyré|Rudolf Carnap|Pierre Duhem|Stanley Cavell|Gaston Bachelard|Jean Piaget|Hélène Metzger"
"Gabriel García Márquez","William Faulkner|Virginia Woolf|Juan Rulfo"
"Levi Bryant","Gilles Deleuze|Jacques Rancière|Graham Harman"
"Janez Menart","Dragotin Kette"
"Stendhal","William Hazlitt|Jean Racine"
"Bohumil Hrabal","Jaroslav Hašek"
"Leszek Kołakowski","Edmund Husserl"
"Aimee Bender","Italo Calvino"
"Sandra Laugier","Stanley Cavell"
"John Murray (novelist)","Brian O'Nolan"
"Maksim Bahdanovič","Paul Verlaine"
"Jean-Christophe Grangé","Sébastien Japrisot"
"Arthur Fine","Bas van Fraassen"
"Johann Gottlieb Fichte","Baruch Spinoza|Immanuel Kant|Jean-Jacques Rousseau|René Descartes|Friedrich Heinrich Jacobi|Karl Leonhard Reinhold"
"Anton Chekhov","Gustave Flaubert|Guy de Maupassant|Henrik Ibsen|Gleb Uspensky|Alexander Pushkin|Nikolai Leskov|Ivan Turgenev"
"Srećko Horvat","Slavoj Žižek"
"Graham Greene","Miguel de Cervantes|Karl Stern"
"Hans Ulrich Gumbrecht","Wlad Godzich"
"Malcolm Lowry","William Faulkner"
"André Gorz","Ivan Illich"
"Han Ryner","Epictetus|Epicurus|Diogenes of Sinope"
"Joachim Meyer","Sigmund Ringeck"
"Henry David Thoreau","Ralph Waldo Emerson|Virgil|Johann Wolfgang von Goethe|Alexander von Humboldt"
"Ernest Hemingway","John Donne|Knut Hamsun|Robert Louis Stevenson|Frederic Manning|Henry David Thoreau|Henri Barbusse|Sherwood Anderson|Ivan Turgenev"
"Rosemary Rogers","Shirlee Busbee"
"Adam Mickiewicz","Alexander Pushkin|Stefan Florian Garczyński|Antoni Malczewski|Kazimierz Brodziński"
"Yukio Mishima","Thomas Mann|Yasunari Kawabata|Kyōka Izumi"
"Gilles Grelet","François Laruelle"
"Novalis","Baruch Spinoza|Johann Gottlieb Fichte"
"Ghulam Ali Dihlawi","Mirza Mazhar Jan-e-Janaan"
"Alfonso Gatto","Giuseppe Ungaretti"
"James Wright (poet)","Robert Frost|Theodore Roethke|Robert Bly"
"Scipio Slataper","Giovanni Papini"
"Emma Goldman","Peter Kropotkin|Henry David Thoreau|Max Stirner"
"Desiderius Erasmus","John Colet|Giovanni Pico della Mirandola|Lucian"
"Donna Tartt","Barry Hannah"
"Jim Russell (cartoonist)","Stan Cross"
"Ovid","Virgil"
"Audrey Niffenegger","Louise Fitzhugh"
"Stieg Larsson","Maj Sjöwall|Dorothy L. Sayers|Henning Mankell|Per Wahlöö"
"Martha Nussbaum","Bernard Williams|Hilary Putnam"
"Louise Glück","Sylvia Plath"
"Primož Kozak","Jože Javoršek|Dominik Smole"
"Taslima Nasrin","Salman Rushdie"
"Joseph Campbell","Carl Jung|Adolf Ellegard Jensen|Adolf Bastian|Leo Frobenius"
"Upton Sinclair","Henry David Thoreau|Edmund Wilson"
"Hent de Vries","Stanley Cavell"
"Surender Mohan Pathak","John Dickson Carr|James Hadley Chase"
"Kendall Walton","Nelson Goodman|Nicholas Wolterstorff"
"Oliver Wendell Holmes, Sr.","Pierre Charles Alexandre Louis|Forceythe Willson"
"August Leskien","August Schleicher"
"Uroš Zupan","Tomaž Šalamun|Aleš Debeljak"
"Mario Luzi","Giuseppe Ungaretti"
"Arthur Danto","Georg Wilhelm Friedrich Hegel"
"Montesquieu","Writings of Cicero|Jean Bodin|Nicolas Malebranche"
"Claude Esteban","Stanley Cavell"
"Kyle Muntz","Donald Barthelme"
"Simon Gregorčič","France Prešeren"
"Michael Buckley (author)","Eric Carle"
"Harriet Martineau","Auguste Comte"
"Victor Cousin","Friedrich Heinrich Jacobi|Thomas Reid|Friedrich Wilhelm Joseph Schelling|Maine de Biran|Étienne Bonnot de Condillac"
"Fyodor Tyutchev","Alexander Pushkin"
"Oscar Wilde","Peter Kropotkin|Alice Pike Barney|William Godwin"
"Kenneth Waltz","Niccolò Machiavelli"
"Benny Lévy","Emmanuel Levinas"
"Mircea Eliade","Julius Evola|René Guénon|Debiprasad Chattopadhyaya|Georges Dumézil|Giovanni Papini|Joachim Wach"
"Ibn Battah","Al-Hasan ibn 'Ali al-Barbahari"
"Robert Graves","Siegfried Sassoon|W. H. R. Rivers"
"Susanna Clarke","John Crowley"
"Txillardegi","Jean-Paul Sartre"
"Daniel Abraham (author)","George R. R. Martin|Ted Chiang"
"Alfian Sa'at","Edwin Thumboo"
"William Goldman","Ross Macdonald"
"Daniel Goleman","Richard Evans Schultes"
"Robert B. Pippin","Georg Wilhelm Friedrich Hegel|Leo Strauss"
"Dositej Obradović","Gavril Stefanović Venclović|Zaharije Orfelin|Jovan Rajić"
"Larry Heinemann","William March"
"Knut Hamsun","August Strindberg|Henrik Wergeland"
"David Wagoner","Theodore Roethke"
"Paul W. Franks","Stanley Cavell"
"Bruno Bauer","Georg Wilhelm Friedrich Hegel|Ludwig Feuerbach|Johann Eduard Erdmann"
"Amy Tan","Oakley Hall"
"Nelson Goodman","Rudolf Carnap|Clarence Irving Lewis"
"Ben Myers","Richard Brautigan"
"August Schleicher","Franz Bopp|Wilhelm von Humboldt"
"Alison Weir","Anya Seton"
"Hannes Bok","Emil Petaja"
"Thomas Reid","David Hume|George Berkeley"
"Torquato Tasso","Horace|Ludovico Ariosto"
"Jacques Lacan","Ferdinand de Saussure|Roman Jakobson|Melanie Klein|Alexandre Kojève"
"Heinrich Heine","Georg Wilhelm Friedrich Hegel|Ludwig Börne|Novalis|Johann Joachim Winckelmann"
"Dušan Šarotar","Drago Jančar"
"Ludovico Ariosto","Virgil"
"Iamblichus","Plotinus"
"Eric Hoffer","Michel de Montaigne"
"Nick Land","Curtis Yarvin|Emil Cioran"
"Peter Spiegelman","Raymond Chandler|Ross Macdonald"
"Enzo Bettiza","Scipio Slataper"
"J. M. Barrie","Robert Louis Stevenson"
"Michael Swanwick","Gene Wolfe"
"Ernest Sosa","Nicholas Rescher"
"F. Scott Fitzgerald","Shane Leslie|Sherwood Anderson"
"John Anderson (philosopher)","Samuel Alexander|Edwin Holt"
"Sarah Dunant","Ruth Rendell"
"George Wharton James","Carl Eytel"
"Josiah Royce","Hermann Lotze"
"Lojze Kovačič","Prežihov Voranc"
"Mastoureh Ardalan","Ahmad Khani"
"Robert Brandom","Georg Wilhelm Friedrich Hegel|Wilfrid Sellars|Richard Rorty|Robert B. Pippin|David Lewis (philosopher)"
"Léon Daudet","Maurice Barrès"
"Riccardo Bacchelli","Giuseppe Rovani"
"Ben Marcus","David Markson"
"H. P. Lovecraft","Edward Plunkett, 18th Baron of Dunsany|Guy de Maupassant|Oswald Spengler|A. Merritt|Gertrude Barrows Bennett"
"Ngô Sĩ Liên","Lê Văn Hưu"
"Frank P. Ramsey","Ludwig Wittgenstein"
"Maurice Merleau-Ponty","Edmund Husserl|Ferdinand de Saussure|Jean-Paul Sartre|Alexandre Kojève|Emmanuel Levinas|Alfred North Whitehead|Martin Heidegger|Eugène Minkowski|Kurt Koffka|Félix Ravaisson-Mollien"
"Rosamunde Pilcher","John Drummond, 15th Baron Strange"
"Wu Ming","Luigi Malerba"
"Christian Wolff (philosopher)","Confucius|Gottfried Wilhelm Leibniz|Damaris Cudworth Masham|Francisco Suárez"
"Livy","Posidonius"
"Ian Hacking","Ludwig Wittgenstein"
"S. M. Stirling","Robert E. Howard"
"Salman Rushdie","Italo Calvino"
"Friedrich Adolf Trendelenburg","Friedrich Schleiermacher|Karl Leonhard Reinhold"
"Jeremy Bentham","Epicurus|Protagoras|Francis Hutcheson (philosopher)"
"Maurice Nicoll","George Gurdjieff"
"Manuel Ramos Otero","Julia de Burgos"
"Fernando Pessoa","Camilo Pessanha|Antero de Quental|Luís de Camões"
"Nicole Loraux","Cornelius Castoriadis"
"Rahat Indori","Amjad Hyderabadi"
"Marina Tsvetaeva","Maximilian Voloshin|Alexander Pushkin"
"Carol Ann Duffy","Ted Hughes|Roger McGough"
"John Steinbeck","Robert Burns|Sherwood Anderson"
"Max Adler (Marxist)","Karl Kautsky"
"Bjørnstjerne Bjørnson","Henrik Wergeland"
"Salomon Maimon","Karl Leonhard Reinhold"
"Michio Takeyama","Kiyoshi Jinzai"
"Gao Xingjian","Fernando Pessoa"
"Hypatia","Plotinus"
"Konstantin Stanislavsky","Nikolai Gogol|Maurice Maeterlinck|Alexander Pushkin|Alexander Ostrovsky|Theatrical Productions of André Antoine|André Antoine"
"Annie Proulx","Thomas Savage (novelist)"
"John Greenleaf Whittier","Robert Burns"
"Julia Kristeva","Jacques Lacan|Mikhail Bakhtin|Hannah Arendt"
"Mário de Sá-Carneiro","Fernando Pessoa|Camilo Pessanha"
"Benjamin Tucker","Gustave de Molinari|Pierre-Joseph Proudhon|Josiah Warren|Max Stirner"
"Henry Corbin","Muhammad Husayn Tabataba'i|Étienne Gilson"
"Émile Boutroux","Maine de Biran"
"Pier Paolo Pasolini","Arthur Rimbaud|Dino Campana|Marquis de Sade"
"Karl-Otto Apel","Georg Henrik von Wright"
"Georges Bernanos","Maurice Barrès"
"William A. Earle","Karl Jaspers"
"Dario Fo","Giada Trebeschi"
"David Keck","Steven Erikson"
"Herbert Blumer","George Herbert Mead|W. I. Thomas|Charles Cooley"
"Austin Dacey","Christine Korsgaard"
"Gregory Corso","Percy Bysshe Shelley"
"Beatrix Potter","Randolph Caldecott|Joel Chandler Harris"
"Stacey Richter","Mary Gaitskill"
"Jorge Luis Borges","George Berkeley|Ralph Waldo Emerson|Robert Louis Stevenson|Virgil|Ambrose Bierce|Thomas Browne|Luís de Camões|Rafael Barrett"
"Kealan Patrick Burke","Ramsey Campbell"
"John Banville","Vladimir Nabokov"
"Milan Kundera","Denis Diderot|Henry Fielding|Johann Wolfgang von Goethe"
"Gerrit Komrij","J. Slauerhoff"
"Hedwig Gorski","Dylan Thomas|Jerzy Grotowski|Wisława Szymborska|Vladimir Mayakovsky"
"Pedro Pietri","Julia de Burgos"
"Simone Weil","Émile Chartier"
"Clare B. Dunkle","Lloyd Alexander"
"Douglas Coupland","Marshall McLuhan"
"Richard Hugo","Theodore Roethke"
"Attila József","Gyula Juhász"
"William Thompson (philosopher)","William Godwin"
"George Bernard Shaw","Henry George|Agustus Montrose|Henry David Thoreau"
"Danilo Lokar","Anton Vodnik"
"Louis Veuillot","Joseph de Maistre"
"Edvard Kocbek","Srečko Kosovel|France Prešeren|Josip Murn"
"Wells Tower","Barry Hannah"
"Ben Jonson","John Pory|William Camden"
"R. G. Collingwood","Benedetto Croce"
"Emil Lask","Heinrich Rickert"
"W. D. Ross","G. E. Moore|Harold Arthur Prichard"
"Shannon Bramer","Joyce Carol Oates"
"Arcesilaus","Pyrrho"
"Michel de Montaigne","Democritus|Sextus Empiricus"
"Lewis Gordon","Frantz Fanon"
"Ivan Bunin","Alexander Pushkin|Mikhail Lermontov"
"Patrick Modiano","Louis-Ferdinand Céline"
"John Colet","Guillaume Budé|Giovanni Pico della Mirandola"
"Eavan Boland","Seamus Heaney|John Montague (poet)"
"Heinrich Böll","Thomas Mann"
"Juan Emilio Viguié","Miguel Pou"
"Maimonides","Averroes"
